fdcId,description,foodCategory,brandOwner,brandName,packageWeight,publishedDate,Protein G,Total lipid (fat) G,"Carbohydrate, by difference G",Energy KCAL,Total Sugars G,"Fiber, total dietary G","Calcium, Ca MG","Iron, Fe MG","Sodium, Na MG","Vitamin C, total ascorbic acid MG",Cholesterol MG,"Fatty acids, total trans G","Fatty acids, total saturated G",Vitamin A UG,"Potassium, K MG",Vitamin D (D2 + D3) UG,"Sugars, added G"
2425861,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",PET,1 GAL/3.78 L,12/22/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,117,,
2425862,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",PET,1 Quart/946 mL,12/22/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,,,
2484042,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",GANDY'S,1 GAL/3.78 L,2/16/2023,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,117,,
2157853,1% LOWFAT MILK,Milk,Nash Finch Company,OUR FAMILY,,10/28/2021,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,,,
2673644,1% LOWFAT MILK,Milk,Akpharma Inc.,LACTAID,HALF GALLON/1.89 L,11/16/2023,3.33,1.04,5.42,46,5,0,125,0.04,52,,6,0,0.62,62,171,1,0
2511316,1% LOWFAT MILK,Milk,"Dakin Dairy Farms, Inc.",COUNTRY FRESH,1 GAL/3.87 L,3/16/2023,3.33,0.83,5.42,50,5.42,0,125,0,44,,5,0,0.42,,117,,
2631719,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",GARELICK FARMS,0.5 gal,9/14/2023,3.33,1.04,5.42,46,5,,125,,54,,4,0,0.62,62,167,1,
2286713,1% LOWFAT MILK,Milk,Kemps LLC,KEMPS,32 fl oz/1 Quart/946 mL,5/23/2022,3.39,1.06,5.51,47,5.08,0,127,0,57,1,4,0,0.64,,174,,
2126409,1% LOWFAT MILK,Milk,Dean Foods Company,OVER THE MOON,0.5 GAL/1.89 L,10/28/2021,4.58,1.04,7.08,54,6.67,0,167,0,71,0,6,0,0.62,,225,,
2462151,1% LOWFAT MILK,Milk,Anderson Erickson Dairy Co.,ANDERSON ERICKSON DAIRY,1 Quart/946 mL,2/16/2023,3.33,1.04,5,42,5,0,125,0,44,,4,0,0.62,,154,,
2463124,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",ALTA DENA,0.5 GAL/1.89 L,2/16/2023,4.17,1.04,6.67,54,6.25,,158,,67,,6,,0.62,,212,,
2616464,1% LOWFAT MILK,Milk,Elmhurst Milk & Cream Co.Inc.,MOUNTAINSIDE FARMS,.5 gal,8/31/2023,3.33,1.04,5,46,5,0,123,0,52,,6,0,0.62,70,150,1,0
2290234,1% LOWFAT MILK,Milk,"Rutter Bros. Dairy, Inc.",RUTTER'S,0.5 GAL/1.89 L,5/23/2022,,,,,,0,125,0,,0,,0,,,,,
2676677,1% LOWFAT MILK,Milk,Stater Bros. Markets Inc.,STATER BROS. MARKET,1/2 GALLON/1.89 L,11/16/2023,4.17,1.04,6.67,54,6.25,0,158,0,67,,6,0,0.62,62,,1,0
2128971,1% LOWFAT MILK,Milk,The Kroger Co.,FRED MEYER,1 GAL/3.78 L,10/28/2021,3.33,1.04,5,42,4.58,0,125,0,50,1,4,0,0.62,,162,,
2463477,1% LOWFAT MILK,Milk,"Borden, Inc.",MEADOW GOLD,HALF GAL/1.89 L,2/16/2023,3.33,1.04,5.42,46,5,,125,,54,,4,,0.62,,167,,
2617015,1% LOWFAT MILK,Milk,Cream-O-Land Dairy,CREAM-O-LAND,1 gal,8/31/2023,3.33,1.04,5.42,46,5,0,104,0,54,,6,0,0.62,56,117,1,0
2617675,1% LOWFAT MILK,Milk,"Safeway, Inc.",LUCERNE,64 fl oz/0.5 GAL/1.89 L,8/31/2023,3.75,1.04,5.42,46,5,0,104,0,58,,6,0,0.62,38,146,1,0
2617686,1% LOWFAT MILK,Milk,"Safeway, Inc.",LUCERNE,64 fl oz/0.5 GAL/1.89 L,8/31/2023,4.58,1.04,6.67,54,6.25,0,125,0,71,,6,0,0.62,38,146,1,0
1891156,1% LOWFAT MILK,Milk,Dean Foods Company,BROWN'S DAIRY,1 Quart/946 mL,7/29/2021,3.33,1.04,5.42,46,5,0,125,0,54,1,4,0,0.62,,167,,
2137658,1% LOWFAT MILK,Milk,Mars Chocolate North America LLC,KING KULLEN,,10/28/2021,3.33,1.04,5.42,46,5,0,125,0,54,1,4,0,0.62,,,,
2679983,1% LOWFAT MILK,Milk,"Prairie Farms Dairy, Inc.",PRAIRIE FARMS,0.5 GAL/1.89 L,11/16/2023,3.33,1.04,4.58,42,4.58,0,125,0,50,0.5,6,0,0.62,38,,2,
2468389,1% LOWFAT MILK,Milk,Akpharma Inc.,LACTAID,1 Quart/946 mL,2/16/2023,3.33,1.04,5.42,46,5,0,125,0.04,52,,6,0,0.62,,171,,
2079679,1% LOWFAT MILK,Milk,"Quality Chekd Dairies, Inc.",UMPQUA DAIRY,1 GAL/3.78 L,10/28/2021,3.33,1.04,4.58,42,4.58,0,104,0,46,0.5,6,0,0.62,,,,
2383406,1% LOWFAT MILK,Milk,"McArthur Next, LLC",MCARTHUR DAIRY,1.89 L/HALF GALLON,12/22/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,117,,
2295444,1% LOWFAT MILK,Milk,Hygeia Dairy Company,HYGEIA,1 GAL/3.78 L,5/23/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,,,
2274791,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",GARELICK FARMS,ONE GALLON/3.78 L,5/23/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,,,
2421672,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",SWISS,ONE GALLON/3.78 L,12/22/2022,3.33,1.04,5.42,46,5,0,104,0,,,4,0,0.62,,117,,
2040040,1% LOWFAT MILK,Milk,Dean Foods Company,PURITY,1 GAL/3.78 L,10/28/2021,3.33,1.04,5.42,46,5,0,125,0,54,1,4,0,0.62,,167,,
2541254,1% LOWFAT MILK,Milk,,ALTA DENA,1 GAL/3.78 L,5/25/2023,4.17,1.04,6.67,54,6.25,0,125,0,67,,6,0,0.62,,146,,
1919800,1% LOWFAT MILK,Milk,Harris-Teeter Inc.,HARRIS TEETER,64 fl oz/1/2 GAL/1.89 L,7/29/2021,3.33,1.04,5,42,4.58,0,125,0,50,1,4,0,0.62,,162,,
2623156,1% LOWFAT MILK,Milk,"Quality Chekd Dairies, Inc.",UMPQUA DAIRY,0.5 GAL/1.89 L,8/31/2023,3.33,1.04,4.58,42,4.58,0,104,0,46,0.5,6,0,0.62,38,,2,
